,name,cate,dist,dire
0,ak_0m_center_0001.wav,AR,0m,center
1,ak_0m_center_0002.wav,AR,0m,center
2,ak_0m_center_0003.wav,AR,0m,center
3,ak_0m_center_0004.wav,AR,0m,center
4,ak_0m_center_0006.wav,AR,0m,center
5,ak_0m_center_0007.wav,AR,0m,center
6,ak_0m_center_0009.wav,AR,0m,center
7,ak_0m_center_0010.wav,AR,0m,center
8,ak_0m_center_0011.wav,AR,0m,center
9,ak_0m_center_0013.wav,AR,0m,center
10,ak_0m_center_0015.wav,AR,0m,center
11,ak_0m_center_0016.wav,AR,0m,center
12,ak_0m_center_0017.wav,AR,0m,center
13,m4_0m_center_0366.wav,AR,0m,center
14,m4_0m_center_0368.wav,AR,0m,center
15,m4_0m_center_0370.wav,AR,0m,center
16,m4_0m_center_0371.wav,AR,0m,center
17,m4_0m_center_0372.wav,AR,0m,center
18,m4_0m_center_0373.wav,AR,0m,center
19,m4_0m_center_0374.wav,AR,0m,center
20,m4_0m_center_0375.wav,AR,0m,center
21,m4_0m_center_0376.wav,AR,0m,center
22,m4_0m_center_0377.wav,AR,0m,center
23,m4_0m_center_0378.wav,AR,0m,center
24,m4_0m_center_0379.wav,AR,0m,center
25,m4_0m_center_0381.wav,AR,0m,center
26,m4_0m_center_0382.wav,AR,0m,center
27,m4_0m_center_0383.wav,AR,0m,center
28,m4_0m_center_0384.wav,AR,0m,center
29,m4_0m_center_0385.wav,AR,0m,center
30,m4_0m_center_0386.wav,AR,0m,center
31,m4_0m_center_0388.wav,AR,0m,center
32,m4_0m_center_0389.wav,AR,0m,center
33,nogun_None_None_0391.wav,nogun,none,none
34,nogun_None_None_0392.wav,nogun,none,none
35,nogun_None_None_0393.wav,nogun,none,none
36,nogun_None_None_0394.wav,nogun,none,none
37,nogun_None_None_0395.wav,nogun,none,none
38,nogun_None_None_0396.wav,nogun,none,none
39,ak_0m_center_0441.wav,AR,0m,center
40,ak_0m_center_0443.wav,AR,0m,center
41,ak_0m_center_0444.wav,AR,0m,center
42,ak_0m_center_0445.wav,AR,0m,center
43,ak_0m_center_0446.wav,AR,0m,center
44,ak_0m_center_0447.wav,AR,0m,center
45,ak_0m_center_0448.wav,AR,0m,center
46,ak_0m_center_0449.wav,AR,0m,center
47,ak_0m_center_0451.wav,AR,0m,center
48,ak_0m_center_0452.wav,AR,0m,center
49,ak_0m_center_0453.wav,AR,0m,center
50,ak_0m_center_0454.wav,AR,0m,center
51,aug_0m_center_0455.wav,AR,0m,center
52,aug_0m_center_0456.wav,AR,0m,center
53,aug_0m_center_0457.wav,AR,0m,center
54,aug_0m_center_0459.wav,AR,0m,center
55,aug_0m_center_0461.wav,AR,0m,center
56,aug_0m_center_0462.wav,AR,0m,center
57,aug_0m_center_0463.wav,AR,0m,center
58,aug_0m_center_0464.wav,AR,0m,center
59,aug_0m_center_0465.wav,AR,0m,center
60,aug_0m_center_0467.wav,AR,0m,center
61,aug_0m_center_0468.wav,AR,0m,center
62,aug_0m_center_0469.wav,AR,0m,center
63,aug_0m_center_0470.wav,AR,0m,center
64,aug_0m_center_0471.wav,AR,0m,center
